Station;Temperature mini;Temperature maxi;Temperature mini moy.;Temperature maxi moy.;Temperature moy.;Precipitations;Ensoleillement;
38 - Grenoble Le Versoud;-1.7;15.9;2.4;10.1;6.3;154.9;-
38 - Grenoble St Geoirs;-4.1;16.1;2.6;9.3;6.0;122.8;61h00
39 - Dole Tavaux;-0.9;14.1;4.4;9.9;7.2;136.1;42h00
40 - Biscarosse Parentis;1.7;16.2;7.8;12.4;10.1;114.0;61h00
40 - Dax Seyresse;-0.5;19.3;6.9;12.5;9.7;217.7;63h00
40 - Mont-De-Marsan (base aérienne);-2.1;17.6;6.2;12.3;9.3;150.9;64h00
41 - Blois Le Breuil;-1.5;14.5;5.1;10.1;7.6;87.3;24h00
41 - Romorantin Pruniers-en-Sologne;-2.1;14.8;5.2;10.6;7.9;123.5;-
42 - Saint Etienne Boutheon;-1.5;17.2;3.4;11.0;7.2;56.8;54h00
43 - Le Puy Loudes;-5.4;13.5;1.8;8.0;4.9;103.9;67h00
44 - Saint-Nazaire Montoir;-0.4;14.4;6.4;11.4;8.9;112.7;-
45 - Orleans Bricy;-0.3;13.4;5.1;9.3;7.2;74.1;23h00
46 - Gourdon;-0.9;16.7;5.3;10.5;7.9;138.4;25h00
47 - Agen La Garenne;-0.8;17.1;6.6;12.1;9.4;90.8;45h00
48 - Mende Brenoux;-3.4;12.8;1.6;7.2;4.4;143.3;61h00
49 - Angers Beaucouzé;-0.6;15.3;6.4;11.4;8.9;78.5;54h00
50 - Cherbourg Maupertus;1.6;12.9;5.1;9.8;7.5;130.8;34h00
50 - La Hague (cap);4.5;13.3;7.1;10.8;9.0;128.1;-
51 - Châlons en Champagne Vatry;0.1;12.9;4.4;8.9;6.7;116.2;-
51 - Reims / Prunay;-1.1;14.2;4.3;9.4;6.9;102.8;33h00
52 - Langres;-1.0;11.5;3.1;7.6;5.4;242.1;28h00
52 - Saint-Dizier Robinson;-0.5;13.6;4.8;9.4;7.1;166.8;25h00
53 - Laval Entrammes;-1.2;14.8;5.7;10.6;8.2;99.1;40h00
54 - Nancy Essey;-3.9;13.4;4.0;9.1;6.6;168.4;32h00
54 - Nancy Ochey;-1.0;12.4;3.7;8.2;6.0;158.4;-
56 - Belle Ile Le Talut;4.6;13.7;8.3;11.6;10.0;61.2;-
56 - Ile de Groix - Beg Melen;4.4;13.4;7.9;11.2;9.6;99.2;-
56 - Lorient Lann Bihoue;-0.8;13.8;5.8;11.1;8.5;124.9;56h00
57 - Metz-Nancy-Lorraine;-1.3;12.8;3.8;8.3;6.1;129.9;29h00
58 - Nevers Fourchambault;-1.8;14.8;4.8;10.5;7.7;145.6;41h00
59 - Dunkerque;0.5;14.6;4.9;9.3;7.1;82.5;-
59 - Lille Lesquin;0.0;13.8;4.0;8.9;6.5;80.5;23h00
