Station;Temperature mini;Temperature maxi;Temperature moy.;Precipitations;Ensoleillement;
47 - Agen La Garenne;9.7;17.2;13.0;0.2;3h30
48 - Mende Brenoux;7.8;10.3;9.0;0.0;0h00
49 - Angers Beaucouzé;11.8;15.7;13.5;5.6;0h00
49 - Angers Chaumont-d'Anjou Marcé;11.4;15.2;13.0;5.4;-
50 - Cherbourg Maupertus;8.4;11.2;9.5;6.4;0h12
50 - La Hague (cap);9.3;11.7;10.5;2.8;-
51 - Châlons en Champagne Vatry;11.3;14.9;13.0;0.2;-
51 - Reims / Prunay;10.4;15.4;12.5;2.4;0h00
52 - Langres;9.5;13.1;11.0;0.1;3h36
52 - Saint-Dizier Robinson;-;-;-;0.0;0h12
53 - Laval Entrammes;10.6;13.6;12.0;3.2;0h00
54 - Nancy Essey;11.5;15.4;13.0;0.0;1h12
54 - Nancy Ochey;11.2;15.0;13.0;0.1;-
56 - Belle Ile Le Talut;11.0;13.8;12.0;6.5;-
56 - Ile de Groix - Beg Melen;9.7;12.5;11.0;28.0*;-
56 - Lorient Lann Bihoue;9.4;12.0;10.5;4.0*;0h00
57 - Metz-Nancy-Lorraine;10.7;14.1;12.0;0.0;1h42
58 - Nevers Fourchambault;5.6;17.4;11.5;0.1;1h06
59 - Dunkerque;11.0;13.3;12.0;2.2;-
59 - Lille Lesquin;10.6;13.4;12.0;3.2;-
60 - Beauvais Tillé;10.4;13.2;11.5;8.0;0h00
61 - Alençon Valframbert;10.5;13.2;11.5;3.4;0h00
62 - Boulogne sur mer;9.8;12.0;10.5;3.2;-
62 - Le Touquet / Côte d'Opale;10.4;13.2;11.5;1.2;0h00
63 - Clermont Ferrand Aulnat;11.8;18.4;15.0;0.0;7h06
64 - Biarritz Anglet;16.7;23.2;19.5;0.2;5h42
64 - Pau Pont-Long-Uzein;7.5;22.7;15.0;0.1;2h18
64 - Socoa;17.8;23.2;20.5;0.1;-
65 - Tarbes Ossun;6.1;21.7;13.5;0.0;0h48
66 - Cap Béar;10.7;16.7;13.5;0.2;-
66 - Perpignan Rivesalte;6.7;14.4;10.5;0.0;0h36
67 - Strasbourg Entzheim;9.9;17.4;13.5;0.0;6h06
68 - Bâle Mulhouse;4.8;17.6;11.0;0.2;-
69 - Lyon Bron;14.5;17.2;15.5;0.4;5h42
69 - Lyon St Exupéry;13.4;17.2;15.0;0.0;-
70 - Luxeuil St Sauveur;11.0;18.0;14.5;0.0;6h42
71 - Macon Charnay;10.0;17.3;13.5;0.0;6h42
71 - Saint Yan;12.8;18.1;15.0;0.0;-
72 - Le Mans Arnage;11.6;14.9;13.0;5.0*;0h00
73 - Bourg-Saint-Maurice;3.1;14.5;8.5;0.0;4h18
73 - Chambéry Aix les Bains;4.7;14.4;9.5;0.0;4h42
74 - Annecy Meythet;4.2;15.9;10.0;0.0;-
75 - Paris Montsouris;11.4;14.5;12.5;5.2;0h00
76 - Dieppe;10.8;13.4;12.0;4.6;-
76 - Le Havre Cap de la Hève;10.3;12.3;11.0;5.0;-
76 - Le Havre-Octeville;10.5;12.8;11.5;5.8;-
76 - Rouen Boos;10.0;12.6;11.0;5.0;0h00
77 - Melun Villaroche;11.3;14.2;12.5;5.6;0h00
78 - Toussus Le Noble;10.8;14.7;12.5;6.6;-
78 - Trappes;10.8;15.0;12.5;2.8;0h00
79 - Niort Souche;11.0;16.5;13.5;10.1;0h06
80 - Abbeville;10.4;13.2;11.5;4.0;-
80 - Albert Bray;10.1;12.9;11.5;5.8;-
81 - Albi Le Sequestre;5.2;17.6;11.0;0.0;1h24
82 - Montauban  Lamothe-Capdeville;6.9;17.2;12.0;0.0;0h36
83 - Hyeres Le Palivestre;13.6;17.0;15.0;0.0;-
83 - Le Luc Le Cannet;11.6;16.1;13.5;0.0;0h42
84 - Avignon;4.5;18.1;11.0;0.0;-
84 - Carpentras;5.8;18.9;12.0;0.0;-
84 - Orange Caritat;3.8;17.7;10.5;0.0;-
85 - L'Ile d'Yeu - Saint Sauveur;11.5;13.8;12.5;11.0*;-
85 - La Roche sur Yon Les Ajoncs;11.3;14.5;12.5;14.5;0h00
86 - Poitiers Biard;11.1;17.4;14.0;8.9;1h06
87 - Limoges Bellegarde;9.1;16.3;12.5;1.0;5h12
89 - Auxerre / Perrigny;10.8;16.3;13.5;0.0;0h48
90 - Dorans / Belfort;11.6;18.4;15.0;0.0;-
91 - Paris Orly;11.0;14.3;12.5;5.4;0h00
91 - Villacoublay Velizy;10.5;14.8;12.5;3.0;-
93 - Paris Le Bourget;11.4;15.1;13.0;4.6;-
95 - Paris Roissy CDG;10.9;14.2;12.5;5.0;0h00
95 - Pontoise Cormeilles Boissy-l'Aillerie;10.9;14.7;12.5;6.2;-
